size,Id,親カテ,ancestry
洋服のサイズ,1,,
XXS以下,2,1,1
XS(SS),3,1,1
S,4,1,1
M,5,1,1
L,6,1,1
XL(LL),7,1,1
2XL(3L),8,1,1
3XL(4L),9,1,1
4XL(5L)以上,10,1,1
FREESIZE,11,1,1
メンズ靴のサイズ,12,,
23.5cm以下,13,12,12
24cm,14,12,12
24.5cm,15,12,12
25cm,16,12,12
25.5cm,17,12,12
26cm,18,12,12
26.5cm,19,12,12
27cm,20,12,12
27.5cm,21,12,12
28cm,22,12,12
28.5cm,23,12,12
29cm,24,12,12
29.5cm,25,12,12
30cm,26,12,12
30.5cm,27,12,12
31cm以上,28,12,12
レディース靴のサイズ,29,,
20cm以下,30,29,29
20.5cm,31,29,29
21cm,32,29,29
21.5cm,33,29,29
22cm,34,29,29
22.5cm,35,29,29
23cm,36,29,29
23.5cm,37,29,29
24cm,38,29,29
24.5cm,39,29,29
25cm,40,29,29
25.5cm,41,29,29
26cm,42,29,29
26.5cm,43,29,29
27cm,44,29,29
27.5cm以上,45,29,29
スカートのサイズ,46,,
60cm以下,47,46,46
70cm,48,46,46
~80cm,49,46,46
~90cm,50,46,46
90cm以上,51,46,46
キッズ服のサイズ,52,,
100cm,53,52,52
110cm,54,52,52
120cm,55,52,52
130cm,56,52,52
140cm,57,52,52
150cm,58,52,52
160cm,59,52,52
ベビー・キッズ靴のサイズ,60,,
10.5cm以下,61,60,60
11cm・11.5cm,62,60,60
12cm・12.5cm,63,60,60
13cm・13.5cm,64,60,60
14cm・14.5cm,65,60,60
15cm・15.5cm,66,60,60
16cm・16.5cm,67,60,60
17cm以上,68,60,60
ベビー服のサイズ,69,,
60cm,70,69,69
70cm,71,69,69
80cm,72,69,69
90cm,73,69,69
95cm,74,69,69
テレビのサイズ,75,,
20インチ,76,75,75
20～26インチ,77,75,75
26～32インチ,78,75,75
32～37インチ,79,75,75
37～40インチ,80,75,75
40～42インチ,81,75,75
42～46インチ,82,75,75
46～52インチ,83,75,75
52～60インチ,84,75,75
60インチ~,85,75,75
カメラレンズのサイズ,86,,
ニコンFマウント,87,86,86
キヤノンEFマウント,88,86,86
ペンタックスKマウント,89,86,86
ペンタックスQマウント,90,86,86
フォーサーズマウント,91,86,86
マイクロフォーサーズマウント,92,86,86
αAマウント,93,86,86
αEマウント,94,86,86
ニコン1マウント,95,86,86
キヤノンEF-Mマウント,96,86,86
Xマウント,97,86,86
シグマSAマウント,98,86,86
オートバイのサイズ,99,,
50cc以下,100,99,99
51cc-125cc,101,99,99
126cc-250cc,102,99,99
251cc-400cc,103,99,99
401cc-750cc,104,99,99
751cc以上,105,99,99
ヘルメットのサイズ,106,,
XSサイズ以下,107,106,106
Sサイズ,108,106,106
Mサイズ,109,106,106
Lサイズ,110,106,106
XLサイズ,111,106,106
XXLサイズ以上,112,106,106
フリーサイズ,113,106,106
子ども用,114,106,106
タイヤのサイズ,115,,
12インチ,116,115,115
13インチ,117,115,115
14インチ,118,115,115
15インチ,119,115,115
16インチ,120,115,115
17インチ,121,115,115
18インチ,122,115,115
19インチ,123,115,115
20インチ,124,115,115
21インチ,125,115,115
22インチ,126,115,115
23インチ,127,115,115
24インチ,128,115,115
スキーのサイズ,129,,
140cm~,130,129,129
150cm~,131,129,129
160cm~,132,129,129
170cm~,133,129,129
スキーボード,134,129,129
子ども用,135,129,129
その他,136,129,129
スノーボードのサイズ,137,,
135cm-140cm未満,138,137,137
140cm-145cm未満,139,137,137
145cm-150cm未満,140,137,137
150cm-155cm未満,141,137,137
160cm-165cm未満,142,137,137
165cm-170cm未満,143,137,137
